Timecode,Content,Content_zh
"00:00:32,655 --> 00:00:35,274",Schafer: I need to get accustomed to money being around.,Schafer:  我需要習慣身邊有金錢的存在。
"00:00:35,274 --> 00:00:37,002",That's the thing.,就是這回事。
"00:00:37,002 --> 00:00:41,029","This is for the therapy, the physical therapy of getting me used to actually not being afraid of money.",這是為了治療，讓我習慣不再害怕金錢的物理治療。
"00:00:41,029 --> 00:00:43,249",Offscreen voice: Richard Branson does the same thing.,螢幕外聲音：理查德·布蘭森也是這樣做的。
"00:00:43,249 --> 00:00:46,755","Schafer: Ah! You guys, what is this stuff that's all over me?",Schafer:  啊！你們這些傢伙，這些東西到底是什麼，怎麼全都弄到我身上了？
"00:00:46,755 --> 00:00:48,287",Offscreen voice: Beautiful.,螢幕外聲音：漂亮。
"00:00:48,287 --> 00:00:49,552",Schafer: I can't apply it to myself..,Schafer:  我無法應用到自己身上 ..
"00:00:49,552 --> 00:00:50,632",Offscreen voice: Oh my God.,螢幕外聲音：我的天啊。
"00:00:50,632 --> 00:00:52,113",Schafer: I can't self-terminate.,Schafer:  我無法自我終止。
"00:00:52,113 --> 00:00:53,470",Offscreen voice: Help me apply money.,螢幕外聲音：幫我應用金錢。
"00:00:53,470 --> 00:00:55,872",Schafer: I can't self-monetize.,Schafer:  我無法自我貨幣化。
"00:01:23,360 --> 00:01:27,120","Schafer: So this is a more recent, uh point-and-click adventure game.",Schafer:  所以這是最近的，呃，點選冒險遊戲。
"00:01:27,186 --> 00:01:29,962","I have to show you someone else's, because I haven't made one in a long time.",我得給你展示別人的作品，因為我已經很久沒做過了。
"00:01:29,962 --> 00:01:31,565",I used to make them back in the '90s.,我以前在 90 年代就開始做。
"00:01:31,565 --> 00:01:33,569",This is Machinarium.,這是  Machinarium。
"00:01:33,569 --> 00:01:35,512",You role play this little robot and you click around.,你扮演一個小機器人，然後你點選周圍。
"00:01:35,512 --> 00:01:41,245","And these kind of games, you walk the character around by clicking on the ground somewhere and pull on this handle here.",在這類遊戲中，你透過在地面上某處點選來移動角色，然後拉這個手柄。
"00:01:41,245 --> 00:01:43,987",And then I can make this mine cart come through the room.,然後我可以讓這個礦車透過房間。
"00:01:43,987 --> 00:01:45,529",Shahani: I'm sorry. What's that?,Shahani:  抱歉。那是什麼？
"00:01:45,529 --> 00:01:47,657","Schafer: I pulled this handle, oh, that's right.",Schafer:  我拉了這個手柄，哦，對了。
"00:01:47,657 --> 00:01:49,968",This doesn't work until I do this.,這在我做這個之前不起作用。
"00:01:49,968 --> 00:01:52,188",That's what a lot of adventure game playing is like.,這就是很多冒險遊戲的玩法。
"00:01:52,188 --> 00:01:54,622","You're like, oh, this doesn't, why doesn't this work?",你會想，哦，這不行，為什麼這個不工作？
"00:01:54,622 --> 00:01:56,166","Oh, I need this gear first.",哦，我需要先得到這個齒輪。
"00:01:56,166 --> 00:01:57,984",I need to get the gear on the sprocket.,我需要把齒輪裝在鏈輪上。
"00:01:57,984 --> 00:01:59,710","And so they're, they move at a slower pace.",所以他們進展比較慢。
"00:01:59,710 --> 00:02:01,775",And some people really like that.,有些人真的喜歡這樣。
"00:02:01,775 --> 00:02:10,126",But it also means they're not exactly as attention-getting and as visceral and maybe as a big block buster action game.,但這也意味著它們不如引人注目、直觀，或許也不像大型動作遊戲那樣成為大片。
"00:02:10,126 --> 00:02:14,565","And it led us to this point now where it's really hard to get one of these games made these days,",而這也使我們到現在這個地步，如今要製作這類遊戲真的很難，
"00:02:14,565 --> 00:02:17,308",or at least get funding for it from a publisher.,或者至少很難從出版商那裡獲得資金。
"00:02:17,308 --> 00:02:20,513","Shahani: Before getting into all that, what put you on the map?",Shahani:  在談論這些之前，什麼讓你出名了？
"00:02:20,513 --> 00:02:24,919","Like, just describe the game that got you into game famous.",就像，描述一下讓你成名的遊戲。
"00:02:24,919 --> 00:02:26,615",Schafer: Game famous.,Schafer:  成名的遊戲。
"00:02:26,615 --> 00:02:30,807","You know, we just, each game we made in the '90s, we got a little more recognition for it.",你知道，90 年代我們每做一個遊戲，認可度都稍微提升了一點。
"00:02:30,807 --> 00:02:34,995","And we were always pretty savvy about getting our names on the box, you know, so we're, hey.",而且我們一直很擅長把自己的名字放在盒子上，所以我們說，嘿。
"00:02:34,995 --> 00:02:39,305","You know, you have to kind of act like you're famous before you're famous.",你知道，你得先裝出你很有名的樣子，然後才會真的有名。
"00:02:41,800 --> 00:02:42,520",That sounds funny.,那聽起來很有趣。
"00:02:42,660 --> 00:02:45,280",I learned that from an interview with David Lee Roth about Van Halen.,我從對大衛·李·羅斯關於範·海倫的訪談中學到這點。
"00:02:45,287 --> 00:02:47,230",Like we always acted like we were hot shit.,就像我們總是裝出自己很厲害的樣子。
"00:02:47,230 --> 00:02:51,145","We had a big hit, Full Throttle, it's called Full Throttle and it sold a million copies",我們有一個大熱門《猛衝》，就叫《猛衝》，賣了一百萬份。
"00:02:51,145 --> 00:02:54,257",and that was really big for those PC graphic adventures.,對於那些 PC 圖形冒險遊戲來說，那真是非常大。
"00:02:54,257 --> 00:02:58,941",And then I made a game called Grim Fandango and that won Game of the Year with Game Spot,然後我做了一個叫《Grim Fandango》的遊戲，並且獲得了 Game Spot 的年度遊戲獎，
"00:02:58,941 --> 00:03:01,347",and that was the big thing that helped a lot.,這對我們幫助很大。
"00:03:01,347 --> 00:03:05,978","Grim Fandango is set in the Land of the Dead, yeah.",《Grim Fandango》的故事發生在死者之地，是的。
"00:03:05,978 --> 00:03:12,050","And it was, it sold about half a million units and it was seen as not being commercially successful.",它賣出了大約五十萬份，但被認為商業上不成功。
"00:03:12,050 --> 00:03:14,792",And it was one of the reasons that adventure games died.,這也是冒險遊戲消亡的原因之一。
"00:03:14,792 --> 00:03:19,468","I mean, I heard a friend of mine, who worked in another game company, saying we tried to get an adventure game made",我的一個朋友在另一家遊戲公司工作，說我們試圖製作一個冒險遊戲
"00:03:19,468 --> 00:03:23,350","and they said, well look, you know, Grim Fandango didn't do that well.",他們說，嗯，看，《Grim Fandango》表現不佳。
"00:03:23,350 --> 00:03:26,493","So obviously, you know, it was a good game, it won Game of the Year.",所以顯然，它是一個好遊戲，獲得了年度遊戲獎。
"00:03:26,493 --> 00:03:31,610","And if Game of the Year can't sell, you know, as many copies as it needs to, then maybe that genre's dead.",如果年度遊戲獎不能賣出足夠的複製，那麼也許這個型別已經死了。
"00:03:31,610 --> 00:03:37,750",So I feel some responsibility to make a good game and make it do well.,所以我覺得有責任做一個好遊戲並讓它做得好。
"00:03:39,020 --> 00:03:40,180",Rice: He's been excited about it.,Rice:  他對此感到興奮。
"00:03:40,180 --> 00:03:46,947","I mean, he's wanted to return to adventure games for a while and it's just been a matter of not knowing how to make that happen.",我的意思是，他一直想回到冒險遊戲，但只是一直不知道如何實現。
"00:03:46,947 --> 00:03:53,756","Schafer: But fans are always saying they would want, they want one, but a publisher would say, we can't make money doing those.",Schafer:  但粉絲們總是說他們想要一個，但出版商會說，我們做那些遊戲賺不到錢。
"00:03:53,756 --> 00:04:00,773","So something like Kickstarter shows up, which is this crowd sourcing website, where everybody can back a project.",所以像 Kickstarter 這樣的群眾募資網站出現了，每個人都可以支援一個專案。
"00:04:00,773 --> 00:04:06,310","You pitch your project and you get backers and then if you meet your goals, you get the money and you build your project.",你展示你的專案，然後獲得支持者，如果你達到目標，就獲得資金並建立你的專案。
"00:04:06,310 --> 00:04:10,468","Doing an adventure game is interesting, because it's the only, like the only way you could do that,",做一個冒險遊戲很有趣，因為這是唯一的方式，
"00:04:10,468 --> 00:04:14,319","letting the fans like, kind of put their money where their mouth is.",讓粉絲們可以實現他們的意願。
"00:04:14,319 --> 00:04:15,738",Is it that? Wait a second.,是這樣嗎？等等。
"00:04:15,738 --> 00:04:17,219",Did I get that backwards? Yeah.,我是不是搞反了？對。
"00:04:17,219 --> 00:04:18,267","Host: No, you're right. Yeah.",Host:  不，你是對的。是的。
"00:04:18,267 --> 00:04:21,476","Some loud mouth fan, no, I don't want to buy Trenched, but what about an adventure game?",一些喋喋不休的粉絲，說，我不想買《Trenched》，但冒險遊戲怎麼樣？
"00:04:21,476 --> 00:04:23,541",Schafer: Exactly.,Schafer:  完全正確。
"00:04:23,541 --> 00:04:24,837",Shahani: Explain your Kickstarter campaign.,Shahani:  解釋你的 Kickstarter 活動。
"00:04:24,837 --> 00:04:26,596",What have you just done?,你剛剛做了什麼？
"00:04:26,596 --> 00:04:29,676",Schafer: Yeah. What have we done?,Schafer:  是的。我們做了什麼？
"00:04:29,676 --> 00:04:31,835","Schafer: Oh, sorry. I didn't see you there.",Schafer:  哦，抱歉。我沒看到你。
"00:04:31,835 --> 00:04:35,184",You caught me indulging in one of my many impressive hobbies.,你抓到我在沉迷於我眾多令人印象深刻的愛好中的一個。
"00:04:35,184 --> 00:04:36,727",I'm Tim Schafer.,我是 Tim Schafer。
"00:04:36,727 --> 00:04:39,223",Schafer: And so we put a pitch video up where we said we want to make a game.,Schafer:  所以我們上傳了一個簡報影片，說我們想做一個遊戲。
"00:04:39,223 --> 00:04:44,402","And the idea was, what if we made one of these adventure games that most publishers don't want to fund these days?",而這個想法是，如果我們做一個現在大多數出版商不想資助的冒險遊戲，會怎麼樣？
"00:04:44,402 --> 00:04:47,380",And one of my favorite types of games to make is adventure games.,而且我最喜歡做的遊戲型別之一就是冒險遊戲。
"00:04:47,380 --> 00:04:51,851","But these days, it seems like adventure games are almost a bit of a lost art form.",但如今，冒險遊戲似乎幾乎成為一種失傳的藝術形式。
"00:04:51,851 --> 00:04:56,339",They exist in our dreams and our memories and in Germany.,它們存在於我們的夢中和記憶中，還有在德國。
"00:04:56,339 --> 00:05:00,872",Schafer: Maybe that would get people excited about getting a chance to do something that couldn't be funded any other way.,Schafer:  也許那會讓人們對有機會做一些無法透過其他方式資金的事情感到興奮。
"00:05:00,872 --> 00:05:02,168",Schafer: It's perfect.,Schafer:  這很完美。
"00:05:02,168 --> 00:05:03,863",We got the perfect team here at Double Fine to make it.,我們在 Double Fine 有一個完美的團隊來做它。
"00:05:03,863 --> 00:05:06,386","We got the inventor of the genre here, Ron Gilbert.",我們有這個型別的發明者，Ron Gilbert。
"00:05:06,386 --> 00:05:08,668","Oh, look! There he is right now.",哦，看！他現在就在這裡。
"00:05:08,668 --> 00:05:11,438",Maybe he'll help us.,也許他會幫助我們。
"00:05:12,960 --> 00:05:13,920",He'll help us.,他會幫助我們。
"00:05:13,969 --> 00:05:18,686","Gilbert: You know, we've always talked about wanting to do, you know, more classic adventure stuff.",Gilbert:  你知道，我們總是談論想要做，呃，更經典的冒險遊戲。
"00:05:18,686 --> 00:05:24,665","And so doing the Kickstarter thing, it's like, yeah, that sounds, I mean, that sounds really like an interesting idea.",所以做 Kickstarter 的事情，感覺像，嗯，那聽起來，這聽起來真是一個有趣的想法。
"00:05:24,665 --> 00:05:29,210",I think we were both very skeptical about the amount of money.,我覺得我們倆對於需要的金額都很懷疑。
"00:05:29,210 --> 00:05:34,327","Schafer: So, we are asking for this much to make the game and this much to film it.",Schafer:  所以，我們請求了這麼多來製作遊戲，這麼多來拍攝它。
"00:05:34,327 --> 00:05:38,079","And that may seem like a lot of money, but it's really not that much for a game budget these days.",這看起來可能很多，但對於如今的遊戲預算來說，其實並沒有那麼多。
"00:05:38,079 --> 00:05:39,683","It's pretty small, actually.",其實相當少。
"00:05:39,683 --> 00:05:43,496",Schafer: And I just never thought you could get the kind of money that would actually pay for a whole game budget.,Schafer:  而我從來沒想過你能從中獲得足夠支付整個遊戲預算的資金。
"00:05:43,496 --> 00:05:45,715","Schafer: Hello, potential backers.",Schafer:  你好，潛在的支持者們。
"00:05:45,715 --> 00:05:47,166",I could do all three options.,我可以做所有三個選項。
"00:05:47,166 --> 00:05:49,724",Thank you for donating well over the amount we asked for.,感謝你們捐贈遠超我們所要求的金額。
"00:05:49,724 --> 00:05:50,989",That's so great.,這太棒了。
"00:05:50,989 --> 00:05:53,085",We have too much money now.,我們現在有太多錢了。
"00:05:53,085 --> 00:05:54,288",Damn you!,該死！
"00:05:54,288 --> 00:05:56,755",Why haven't anyone given us any money?,為什麼沒有任何人給我們錢？
"00:05:56,755 --> 00:05:58,297",I'm so sad.,我好難過。
"00:05:58,297 --> 00:06:00,733",That doesn't seem believable.,這看起來不可信。
"00:06:00,733 --> 00:06:02,265","Yeah, we're not going to use that one.",是的，我們不會用那一個。
"00:06:02,265 --> 00:06:03,684","Or just moderately, hello.",或者只是適度的，您好。
"00:06:03,684 --> 00:06:07,013",Thank you for dedicating the appropriate amount of... ,感謝你們捐贈了適當的金額 ...
"00:06:07,013 --> 00:06:11,514","Schafer: Because the previous projects in Kickstarter had only been, I don't know what the maximum was before then,",Schafer:  因為之前的 Kickstarter 專案只有，我不知道之前的最高是多少，
"00:06:11,514 --> 00:06:13,796",but it looked like they're like forty grand.,但看起來像是四萬美元。
"00:06:13,796 --> 00:06:17,494","You know, I mean, we're used to making projects that were like, you know, Brütal.",你知道，我們習慣於製作像，《Br ü tal》那樣的專案。
"00:06:17,494 --> 00:06:19,990","Like 20 million dollars and these smaller games, like two million.",像兩千萬美元的專案和這些較小的遊戲，像兩百萬。
"00:06:19,990 --> 00:06:22,733","It was like, no way you can get two million from Kickstarter.",這就像，你不可能從 Kickstarter 那裡獲得兩百萬。
"00:06:22,733 --> 00:06:24,031",Could you?,可以嗎？
"00:06:24,031 --> 00:06:27,238","Schafer: I hope this works out, because it is kind of, that enough people got together,",Schafer:  我希望這能成功，因為這確實是，足夠的人聚集在一起，
"00:06:27,238 --> 00:06:29,334",are they going to actually make a game like this happen?,他們真的會實現這樣一個遊戲嗎？
"00:06:29,334 --> 00:06:34,760","A game like, that we haven't really been able to make happen for business reasons for like, many, many years.",一個遊戲，我們因為商業原因多年來一直無法實現的遊戲。
"00:06:34,760 --> 00:06:37,934",Gilbert: Or we'll just prove all those publishers right.,Gilbert:  或者我們只是證明所有那些出版商是對的。
"00:06:37,934 --> 00:06:41,784",Schafer: Or we'll just prove them all right.,Schafer:  或者我們只是證明他們是對的。
"00:07:03,980 --> 00:07:08,247","Schafer: No, I mean nothing I had done before prepared me for what it's like to work with publishers.",Schafer:  不，之前做的一切都沒能讓我準備好與出版商合作的感覺。
"00:07:08,247 --> 00:07:14,259","Rice: When you're working with a publisher, a lot of times they get involved with design decisions.",Rice:  當你與出版商合作時，他們很多時候會參與設計決策。
"00:07:14,259 --> 00:07:16,816",And you have to make compromises.,你必須做出妥協。
"00:07:16,816 --> 00:07:23,229","Gilbert: You know, if a publisher is out there, from the outside kind of poking in and making you do things.",Gilbert:  你知道，如果有一個出版商，從外部幹預，讓你做某些事情。
"00:07:23,229 --> 00:07:26,219","You know, that's where I think things can kind of come off the rails.",你知道，我認為這就是事情可能偏離軌道的地方。
"00:07:26,219 --> 00:07:31,398","Schafer: And the way it felt, I don't know if this makes any sense, but my head, like the creative process of making a game was like,",Schafer:  當時的感覺，不知道這是否有意義，但創作遊戲的創意過程就像，
"00:07:31,398 --> 00:07:36,886","you look at a field of floating, multi-colored dots, drifting slowly to the ground.",你看著一片漂浮的、多色的點，慢慢漂向地面。
"00:07:36,886 --> 00:07:40,587","And eventually when they hit the ground, they're going to make like a painting on the floor.",最終當它們觸地時，會像地板上的一幅畫一樣。
"00:07:40,587 --> 00:07:43,146","But you've got to kind of like move them around, give them the right and see.",但你必須有點移動它們，給它們對的顏色。
"00:07:43,146 --> 00:07:50,081","And then as they fall, you start to see where you need more color and you move them around and slowly they settle and you just add a sound.",然後當它們下落時，你開始看到哪裡需要更多的顏色，然後移動它們，慢慢地它們定型，你只需要新增聲音。
"00:07:50,081 --> 00:07:51,376",And then you're done.,然後你就完成了。
"00:07:51,376 --> 00:07:54,212","So it'd be like, Tim, what do you do with that green dot?",所以會是，Tim，你打算怎麼處理那個綠點？
"00:07:54,212 --> 00:07:55,632","Phew, I can't tell you.",嘖，我不能告訴你。
"00:07:55,632 --> 00:07:57,083","You're like, ok, that dot?",你說，好的，那個點？
"00:07:57,083 --> 00:07:58,131",Can we just nail that down here.,我們能不能就將它釘在這裡。
"00:07:58,131 --> 00:07:59,151",Can we just say what that's going to be?,我們能不能就說那會是什麼？
"00:07:59,151 --> 00:08:00,200","And you're like, no.",然後你說，不。
"00:08:00,200 --> 00:08:01,558","So let's just say where all the red dots are going to be, ok.",所以讓我們就說所有的紅點將會是，好的。
"00:08:01,558 --> 00:08:02,823",Could you just nail all the red dots down?,你能不能把所有紅點釘下來？
"00:08:02,823 --> 00:08:03,996","Like, no!",不！
"00:08:03,996 --> 00:08:08,283","How about if we just start on this edge and we just take all the dots, like this and just nail all those dots.",那如果我們只從這邊開始，然後我們就把所有點，像這樣，釘下來。
"00:08:08,283 --> 00:08:09,546",No!,不！
"00:08:09,546 --> 00:08:15,374","Rice: Yeah. The games industry as a whole, I think, is in a really weird spot where it's like we're,",Rice:  是的。整個遊戲產業，我認為，處於一個非常奇怪的位置，就像過去的電影產業一樣。
"00:08:15,374 --> 00:08:19,257",like the film industry used to be way back in the day.,就是出版商主導著大部分一切。
"00:08:19,257 --> 00:08:21,909",Where the publishers are running mostly everything.,這種情況存在了很長一段時間，直到現在人們才開始
"00:08:21,909 --> 00:08:26,410",That's kind of how it was for a long time and it's only now that people are starting to like,", 尋找遊戲創作者。"""
"00:08:26,410 --> 00:08:29,175",seek out the creators of the games.,也就是說，尋找那些製作遊戲的人，並試圖實際支援那些人，提升他們。
"00:08:29,175 --> 00:08:34,046",That people who are making the game and try to actually support those people and lift them up a bit.,年輕人：因為 Tim Schafer 一直在推出高品質的遊戲。
"00:08:34,046 --> 00:08:38,197",Young Man: Because Tim Schafer has consistently put out quality games.,男人：遊戲擁有非常龐大且忠實的粉絲群。
"00:08:38,197 --> 00:08:42,296",Man: Games that have very large and dedicated followings.,男人：人們可能會付錢只為了讓他們的螢幕上噴口水。
"00:08:42,296 --> 00:08:46,303",Man: People would probably pay him just to spit on their screen.,年輕人：我們很感激這一點。
"00:08:46,303 --> 00:08:48,215",Young Man: And we do appreciate that.,我們透過做我們所做的來表達感激。
"00:08:48,215 --> 00:08:51,020",We show our appreciation by doing what we've done.,透過在八小時內為這個遊戲提供資金。
"00:08:51,020 --> 00:08:55,243",By giving them the funding for this game in eight hours.,Rice:  整個過去這個月都像是完全的模糊。
"00:08:55,243 --> 00:08:58,449",Rice: The whole like past month has been like a complete blur.,時間過得如此之快。
"00:08:58,449 --> 00:09:00,854",It's gone so quick.,但是，是的，我們在發布的那天在拉斯維加斯參加 DICE。
"00:09:00,854 --> 00:09:05,447","But, yeah, we were in Vegas for DICE the day that we launched.",Schafer:  我們過去一個月很艱難，因為我們的一個遊戲被取消了。
"00:09:05,447 --> 00:09:08,960","Schafer: And we'd had a hard month, because we had a game cancel.",整個團隊，我們在試圖弄清楚，是否能讓這個團隊繼續留下來
"00:09:08,960 --> 00:09:13,616","The whole team, we're trying to figure out whether we could swing having this team stay on",還是我們不得不解僱 12 人來維持公司運轉？
"00:09:13,616 --> 00:09:17,006",or do we have to let go of twelve people to keep the company afloat?,我們不得不解僱 12 人來維持公司運轉？
"00:09:17,006 --> 00:09:20,078",We've never laid off anyone for money before.,我們以前從未因為資金問題解僱過任何人。
