Timecode,Content,Content_zh
"00:09:20,078 --> 00:09:26,772","So we were, and even besides the financial concerns, it was just such a, it doesn't feel like you're winning when you have a game canceled.",所以我們，除了財務上的擔憂，當你一個遊戲被取消時，感覺就像沒有贏。
"00:09:26,772 --> 00:09:30,532","You feel like it's a big, you know, you've lost.",你感覺像是輸了。
"00:09:30,532 --> 00:09:33,677",Schafer: I'm about to launch our first Kickstarter project.,Schafer:  我們即將啟動我們的第一個 Kickstarter 專案。
"00:09:33,677 --> 00:09:38,456","Rice: It kind of just all came together right when we were out there and we had a bit of time before a meeting and we're like,",Rice:  就在我們在那裡的時候，一切都剛好聚在一起，我們在會議前有點時間，我們就決定，
"00:09:38,456 --> 00:09:39,907",we could launch this today.,今天我們可以啟動它。
"00:09:39,907 --> 00:09:42,928","Schafer: Yeah, I did have to like decide, well, we'll launch our Kickstarter.",Schafer:  是的，我確實必須決定，好，我們將啟動我們的 Kickstarter。
"00:09:42,928 --> 00:09:45,394","That, for time, we're like I guess $200,000.",那，就時間而言，我們大概需要 20 萬美元。
"00:09:45,394 --> 00:09:47,305","We could make something for $200,000.",我們可以用 20 萬美元來做一些事情。
"00:09:47,305 --> 00:09:51,159","And I had to accept it, I might only get $200,000, right?",然後我必須接受，可能我只能得到 20 萬美元，對嗎？
"00:09:51,159 --> 00:09:54,550","And then when I was nervous about it, so I upped it to three, right.",當我對此感到緊張時，我就將目標提高到 30 萬。
"00:09:54,550 --> 00:09:58,002","And so it was like, yeah, we can make something for $300,000.",所以我們說，對，我們可以用 30 萬美元來做一些事情。
"00:09:58,002 --> 00:09:59,389",Because we could.,因為我們可以。
"00:09:59,389 --> 00:10:03,645","You know, we'd been talking about iPhone games recently and it's like three people for six months or something like that.",你知道，我們最近一直在談論 iPhone 遊戲，就像三個人工作六個月之類的。
"00:10:03,645 --> 00:10:05,435","Yeah, we could make something with three people and six months.",是的，我們可以用三個人和六個月來做一些事情。
"00:10:05,435 --> 00:10:11,581","It would look like a flash game or it'd look like an iPhone game, but it would technically be a game.",它看起來像是一個 Flash 遊戲或者像是一個 iPhone 遊戲，但從技術上來說是一個遊戲。
"00:10:11,581 --> 00:10:13,811",By all scientific definitions.,按照所有科學定義。
"00:10:13,811 --> 00:10:16,890",Schafer: I'm nervous.,Schafer:  我感到緊張。
"00:10:17,840 --> 00:10:18,400",Launch.,啟動。
"00:10:22,040 --> 00:10:23,220","Review, i'll have to review it.",審查，我得審查它。
"00:10:23,500 --> 00:10:27,140","Rice: Oh, man. That was such a letdown!",Rice:  哦，天啊。那真是令人失望！
"00:10:27,150 --> 00:10:29,339","Schafer: OK. No, no, that's just fine print.",Schafer:  好的。不，沒關係，那只是細則。
"00:10:29,339 --> 00:10:32,329",It's just that I never read these things.,只是我從來沒看過這些東西。
"00:10:32,329 --> 00:10:33,471",Should I do it?,我應該看嗎？
"00:10:33,471 --> 00:10:34,736","Rice: Yeah, do it.",Rice:  是的，去看吧。
"00:10:34,736 --> 00:10:36,464","Schafer: It couldn't hurt, right?",Schafer:  這不會有壞處，對嗎？
"00:10:36,464 --> 00:10:38,067","Rice: It could, but we're not going to let it.",Rice:  可能會有，但我們不會放過它。
"00:10:38,067 --> 00:10:41,025",Schafer: Whoo!,Schafer:  喔！
"00:10:41,500 --> 00:10:45,374","Rice: I remember like as soon as we hit it up and we refresh, it was like at $30.",Rice:  我記得一旦我們重新整理，它就顯示 30 美元。
"00:10:45,374 --> 00:10:47,910","We're like, holy crap! There's already $30.",我們說，天啊！  已經有 30 美元了。
"00:10:47,910 --> 00:10:50,409","Schafer: I think I'm going to look at how much, I don't care about money.",Schafer:  我想我去看看有多少，我不在乎錢。
"00:10:50,409 --> 00:10:55,405","I'm not going to look. I'm going to look, just one second.",我不會去看。我去看，一秒鐘。
"00:10:55,405 --> 00:10:57,688",Rice: What are we at?,Rice:  我們現在多少了？
"00:10:57,688 --> 00:10:59,911","OK, so we posted this, what? Two hours ago, right?",好的，我們發布了這個，什麼？兩個小時前，對嗎？
"00:10:59,911 --> 00:11:01,504",Schafer: Two hours ago.,Schafer:  兩個小時前。
"00:11:01,504 --> 00:11:03,756",We launched our Kickstarter project two hours ago.,我們兩個小時前啟動了我們的 Kickstarter 專案。
"00:11:03,756 --> 00:11:07,889","$106,000 in 56.","106,000 美元，在 56。"
"00:11:07,889 --> 00:11:10,848","A hundred and six, I can't count so high.",一百零六，我數不過來。
"00:11:10,848 --> 00:11:12,976","It's such a high number, that's crazy.",這個數字太高了，真瘋狂。
"00:11:12,976 --> 00:11:14,918",It's too much money.,這太多錢了。
"00:11:14,918 --> 00:11:19,637","Rice: Yeah. So when we hit a million, that was definitely like, that was the day after.",Rice:  是的。當我們達到一百萬，那絕對是在第二天。
"00:11:19,637 --> 00:11:21,427","One day after we launched, right?",發布一天後，對嗎？
"00:11:21,427 --> 00:11:22,783",Rice: What are we at?,Rice:  我們現在多少了？
"00:11:22,783 --> 00:11:25,304",Schafer: I want to just say I love you guys and not for the money.,Schafer:  我想說我愛你們，不是為了錢。
"00:11:25,304 --> 00:11:27,121","Offscreen: 999,700!","螢幕外：999,700！"
"00:11:28,600 --> 00:11:31,040","Muir: Oh my god, they're counting down to a refresh.",Muir:  我的天啊，他們在倒計時重新整理了。
"00:11:31,589 --> 00:11:32,529",F5!,F5!
"00:11:39,560 --> 00:11:40,840",Muir: Oh my God! It's so exciting.,Muir:  我的天啊！太令人興奮了。
"00:11:40,957 --> 00:11:43,360",Rice: What's the number?,Rice:  多少錢？
"00:11:43,680 --> 00:11:46,780",Offscreen: Refresh! Refresh!,螢幕外：重新整理！重新整理！
"00:11:47,040 --> 00:11:48,615",Min: The internet has crashed.,Min:  網路崩潰了。
"00:11:48,960 --> 00:11:50,840",No!,不！
"00:11:51,360 --> 00:11:52,700",Min: The internet has crashed.,Min:  網路崩潰了。
"00:11:53,699 --> 00:11:54,979",Rice: And what? No!,Rice:  什麼？不！
"00:11:56,520 --> 00:11:57,560",Schafer: Where's my phone?,Schafer:  我的手機在哪裡？
"00:11:57,820 --> 00:11:59,080",Muir: The Internet's crashed.,Muir:  網路崩潰了。
"00:11:59,960 --> 00:12:04,614",[Offscreen Yelling] [Distortion],[ 螢幕外叫喊 ] [ 失真 ]
"00:12:05,740 --> 00:12:07,180",I think they all died. They're dying!,我覺得他們都死了。他們在死！
"00:12:11,300 --> 00:12:12,860",Are you guys ok? What happened?,你們好嗎？發生了什麼？
"00:12:14,610 --> 00:12:16,677","Oh, they're being crushed. It's horrible.",哦，他們被壓扁了。太可怕了。
"00:12:16,677 --> 00:12:19,737","Muir: Oh, no! No!",Muir:  哦，不！不！
"00:12:21,640 --> 00:12:22,480",What happened?,發生了什麼？
"00:12:23,040 --> 00:12:27,580",[Distortion] Muir: It's a million dollars!, [ 失真 ] Muir:  那是一百萬美元！
"00:12:27,611 --> 00:12:28,233",Rice: Is it?,Rice:  是嗎？
"00:12:28,233 --> 00:12:29,973",Muir: That's what a million dollars sounds like.,Muir:  這就是一百萬美元的感覺。
"00:12:30,440 --> 00:12:32,080",Offscreen: What do you mean it crashed?,螢幕外 :  這是什麼意思，崩潰了？
"00:12:32,820 --> 00:12:34,100",Offscreen: Kickstarter crashed.,螢幕外 : Kickstarter 崩潰了。
"00:12:37,520 --> 00:12:39,000",Muir: Kickstarter crashed!,Muir: Kickstarter 崩潰了！
"00:12:39,390 --> 00:12:40,790",Schafer: No.,Schafer:  不。
"00:12:40,960 --> 00:12:52,720","[Offscreen yelling] Rice: Yeah, that was definitely one of the high points,",[ 螢幕外叫喊 ] Rice:  是的，那絕對是高光時刻之一，
"00:12:52,866 --> 00:12:56,318","where it was like, holy crap -- This is a huge thing.",當時感覺像，天啊——這是一件大事。
"00:12:56,318 --> 00:12:58,476",Muir: Whoo! A million in 24 hours.,Muir:  喔！兩百四十小時內一百萬美元。
"00:12:58,476 --> 00:13:00,853","Tim Schafer, you just made a million dollars in 24 hours!",Tim Schafer，你剛剛在 24 小時內賺了一百萬美元！
"00:13:00,853 --> 00:13:03,442","What do you, what are you doing?",你，  你在做什麼？
"00:13:03,442 --> 00:13:05,355",Schafer: Yeah! I got to make a game.,Schafer:  是的！我要做一個遊戲。
"00:13:05,355 --> 00:13:10,448","Newscaster: Over the last few days, Tim Schafer from Double Fine took crowd funding site, Kickstarter to fund his next game.",新聞播報員：在過去的幾天裡，Double Fine 的 Tim Schafer 利用群眾募資網站 Kickstarter 資助他的下一個遊戲。
"00:13:10,448 --> 00:13:12,638",Schafer: It feels like a happening. You know what I mean?,Schafer:  感覺像是一場盛事。你懂我的意思嗎？
"00:13:12,638 --> 00:13:14,241",Like it feels like an event.,就像是一個事件一樣。
"00:13:14,241 --> 00:13:16,401",Newscaster: They're raising money at a clip of a thousand dollars per minute.,新聞播報員：他們正在以每分鐘一千美元的速度籌款。
"00:13:16,401 --> 00:13:17,697",It's incredible.,這真是難以置信。
"00:13:17,697 --> 00:13:19,270",Host: One question that is on everybody's mind.,主持人：大家都在問一個問題。
"00:13:19,270 --> 00:13:20,660",You get the million dollars.,你得到這一百萬美元了。
"00:13:20,660 --> 00:13:22,541",Did you immediately withdraw it all?,你是立刻全部提取了嗎？
"00:13:22,541 --> 00:13:26,055",Put it into a vault and then dive into it like Scrooge McDuck style?,把它放進保險箱，然後像唐老鴨一樣潛水？
"00:13:26,055 --> 00:13:29,602","Schafer: Then during Kickstarter, it made it, I don't know what it was,",Schafer:  然後在 Kickstarter 期間，它達到了，我不知道當時是多少，
"00:13:29,602 --> 00:13:34,805",but it made everyone just take that big basket of money and shake it out over our heads.,但它讓每個人都拿著那籃大錢袋晃動，扔在我們頭上。
"00:13:34,805 --> 00:13:38,100","It really was like the end of ""It's a Wonderful Life"".",這真的像《美好人生》的結局。
"00:13:38,360 --> 00:14:00,320",[Music] Offscreen: So excited.,[ 音樂 ]  螢幕外：太興奮了。
"00:14:02,820 --> 00:14:04,080",Offscreen: Thumbs up?,螢幕外：豎大拇指嗎？
"00:14:04,347 --> 00:14:07,335","Man: Thumbs up, yes.",男人：豎大拇指，對。
"00:14:08,240 --> 00:14:09,640",That was pretty amazing.,那太棒了。
"00:14:11,660 --> 00:14:15,340","I told you, adventure games are not dead!",我跟你說，冒險遊戲沒有死！
"00:14:15,740 --> 00:14:19,512",The thing that I noticed was that it was just such a morale boost to the whole team.,我注意到的事情是，這對整個團隊是一個極大計程車氣提升。
"00:14:19,512 --> 00:14:25,123","And you know, I think it just felt like a lot of goodwill and love coming towards the company and everyone got super excited about it.",你知道，我認為這感覺像有很多善意和愛心湧向公司，每個人都對此感到非常興奮。
"00:14:25,123 --> 00:14:29,071","And because it was like this feeling of like, we knew those people were there, we knew they were.",而且因為有這種感覺，像，我們知道那些人在那裡，我們知道他們在。
"00:14:29,071 --> 00:14:31,199","But, because sometimes they don't show up when you make a game.",但有時候他們在你做遊戲時不會出現。
"00:14:31,199 --> 00:14:34,768","You know, you make a game, you release it, you know, like I thought it was going to sell a lot and it didn't.",你知道，你做遊戲，發布它，像我以為它會賣得很好，結果沒有。
"00:14:34,768 --> 00:14:39,025","You're like, where are all those people that it feels like, there's all this goodwill out there.",你就會想，那些人都在哪裡，感覺上有這麼多善意在外。
"00:14:39,025 --> 00:14:40,352",Man #1: It's two million.,男人 #1：兩百萬。
"00:14:40,352 --> 00:14:43,189",Man #2: One of us has to stop shaving.,男人 #2：我們其中一個人必須停止刮鬍子。
"00:14:43,189 --> 00:14:47,622",Man #2: He has to shave my scrotum if it gets to two million.,男人 #2：如果到兩百萬，他得在鏡頭前刮我的陰囊。
"00:14:48,740 --> 00:14:50,840",Man #1: Only if he agrees to do it on camera.,男人 #1：只有他同意在鏡頭前做。
"00:14:51,418 --> 00:14:54,193",Offscreen: Congratulations.,螢幕外：恭喜。
"00:14:54,193 --> 00:14:57,586",Schafer: It had been a long time since we had experience where it felt like we were the winners.,Schafer:  已經很久沒有經歷過感覺像是贏家的時刻了。
"00:14:57,586 --> 00:15:03,959","We were at DICE and I was walking through DICE, feeling like a winner, which is really kind of like,",我們在 DICE，我走在 DICE 會場，感覺像贏家，這真是有點，
"00:15:03,959 --> 00:15:11,539","not that I feel like a loser, but usually feel like the alternative, alternative to money.",不是說我感覺自己像輸家，但通常感覺像是金錢的替代選項。
"00:15:19,140 --> 00:15:23,377","I mean i'm proud of all our games and I wouldn't switch them with anyone else's games,",我是為我們所有的遊戲感到自豪，我不會用別人的遊戲來交換，
"00:15:23,377 --> 00:15:27,233","but usually walking in a convention like that, you're talking to the, you know, the people who made Uncharted",但通常在那樣的會議上，你在和，比方說是《失落的未來》的製作人談話，
"00:15:27,233 --> 00:15:29,146","and they're, they're really nice and you're like, ah.",他們真的很友善，你會想，啊。
"00:15:29,146 --> 00:15:30,780",Congratulations on the game.,恭喜你們的遊戲。
"00:15:30,780 --> 00:15:32,323",Did really well for you.,對你們來說真的很好。
"00:15:32,323 --> 00:15:38,767","And like, you don't often feel like, you feel like they're like the family member who's like still living at home.",而且，你不會經常感覺到，像是一個還住在家的家庭成員一樣。
"00:15:38,767 --> 00:15:40,217","You know, like yeah.",你知道，像是，是啊。
"00:15:40,217 --> 00:15:44,838","They're all really nice to us, but you know, we haven't, it's different when you make a bunch of money.",他們對我們都很友好，但你知道，當你賺大錢時，感覺會不同。
"00:15:44,838 --> 00:15:47,922",Schafer: And we raised 1.7 million dollars on Kickstarter.,Schafer:  我們在 Kickstarter 上籌集了 170 萬美元。
"00:15:47,922 --> 00:15:52,980",[Applause] Schafer: Is that auto refreshing?,[ 掌聲 ] Schafer:  那是不是自動重新整理？
"00:15:52,980 --> 00:15:53,480",Everyone: Yes.,大家：是的。
"00:15:53,520 --> 00:15:56,572","Schafer: We were in the hotel room and I was listening on the Skype, on the iPad",Schafer:  我們在酒店房間裡，我在 iPad 上聽 Skype，
"00:15:56,572 --> 00:16:02,611","and you just remember like, click, click, aha, aha, then all of a sudden, whooo!",你只是記得，點選，點選，啊哈，啊哈，然後突然，喔！
"00:16:02,920 --> 00:16:04,980",Schafer: Distortion sound as everyone lost their shit.,Schafer:  失真聲音，當每個人都瘋狂起來。
"00:16:05,440 --> 00:16:07,920",And right now we're at almost 2.5 million dollars.,現在我們快到 250 萬美元了。
"00:16:07,999 --> 00:16:10,066",and we have six more days to go.,還有六天的時間。
"00:16:10,066 --> 00:16:13,243","Rice, Offscreen: Everything moved really quickly and I actually didn't really have a chance","Rice,  螢幕外：一切都進展得很快，我其實沒有機會"
"00:16:13,243 --> 00:16:17,066","to like let everything sit in until yesterday, when it finished.",讓一切靜下來，直到昨天，當它完成時。
"00:16:17,066 --> 00:16:21,073","And I was like, finally it like hit me and it was like, holy crap.",我終於意識到，然後就像，天啊。
"00:16:21,073 --> 00:16:24,615",We did something really crazy here.,我們在這裡做了一件非常瘋狂的事。
"00:16:25,720 --> 00:16:26,380",Schafer: 2 minutes!,Schafer:  兩分鐘！
"00:16:27,010 --> 00:16:35,080",[Crowd shouting and cheering] So like we cleared in advance,[ 人群喊叫和歡呼 ]  所以像我們提前清理了一樣
"00:16:35,080 --> 00:16:38,400",I'm going to shake this up and I'm going to spray it all over your head.,我要把這攪亂，我要把它噴到你頭上。
"00:16:40,594 --> 00:16:41,554",Why is that...,為什麼是那個 ...
"00:16:42,000 --> 00:16:42,940",Ron!,Ron!
"00:16:43,329 --> 00:16:45,309","My God, that's terrible for your teeth.",我的天啊，這對你的牙齒太糟糕了。
"00:16:45,309 --> 00:16:46,020",Offscreen: Two minutes!,螢幕外：兩分鐘！
"00:16:46,240 --> 00:16:47,280",Two minutes.,兩分鐘。
"00:16:47,420 --> 00:16:54,960",[Pop] Offscreen: Premature! Premature!, [ 砰 ]  螢幕外：過早了！過早了！
"00:16:55,440 --> 00:17:01,272","Gilbert: There's still a part of my skeptical pessimistic brain that says, well, you can never do this again.",Gilbert:  我的懷疑悲觀的腦海中仍然有一部分在說，嗯，你永遠無法再這麼做了。
"00:17:01,272 --> 00:17:06,079",That this was really kind of this one time perfect storm thing.,這真的只是一次完美風暴的情況。
"00:17:06,079 --> 00:17:10,114","But I don't know. I mean, maybe not.",但我不知道。我的意思，也許不會。
"00:17:10,319 --> 00:17:31,520",[Music] [Cheering],[ 音樂 ] [ 歡呼 ]
"00:17:32,040 --> 00:17:35,515","I've been so happy about that ever since Kickstarter started,",自從 Kickstarter 開始以來，我一直很高興，
"00:17:35,515 --> 00:17:37,672","just thinking about how, I still have to answer to people.",只是想到，我仍然要對人們負責。
"00:17:37,672 --> 00:17:39,646","Like people funded the game, you know.",像人們資助了這個遊戲，你知道的。
"00:17:39,646 --> 00:17:41,827",But they're exactly the people I want to answer to.,但他們正是我想要負責的人。
"00:17:41,827 --> 00:17:43,864","Those are the people I'm making dots for, right?",那些就是我要為之製作點的那些人，對吧？
"00:17:43,864 --> 00:17:50,544","And all those things like, and so it's like, it's just this really liberating,",而且這一切，所以這真的是一個解放性的，
"00:17:50,544 --> 00:17:54,615","freeing thing to just think that I'm just going to have to worry about how good the game is, almost nothing else.",讓我只須擔心遊戲有多好，幾乎沒有其他的事情。
"00:17:54,820 --> 00:18:05,240",[Music] Schafer: I love you guys!,[ 音樂 ] Schafer:  我愛你們！
"00:18:05,240 --> 00:18:08,599",It has been an amazing experience. So much love.,這是一次驚人的體驗。滿滿的愛。
"00:18:08,599 --> 00:18:13,747","We know there's not, it's not all about us and Double Fine, but about you, the fans and what you guys want to say",我們知道這不全是關於我們和 Double Fine，而是關於你們，粉絲，和你們想要說的話
"00:18:13,747 --> 00:18:15,939",and do with your money and choose to do.,以及你們用錢和選擇做的事情。
"00:18:15,939 --> 00:18:18,375",And make things happen for yourself.,並為自己實現一些事情。
"00:18:18,375 --> 00:18:22,785","I mean, I don't want to make a huge speech here, because I'll be all choked up.",我的意思是，我不想在這裡發表一個大演講，因為我會哭得啞口無言。
"00:18:22,785 --> 00:18:24,779",Gilbert: Too late.,Gilbert:  太遲了。
"00:18:24,779 --> 00:18:29,837","Schafer: But I just, I don't want to say this is the end of the, you know, the whole game industry as we know it.",Schafer:  但我只是，我不想說這是我們所知的整個遊戲產業的終結。
"00:18:29,837 --> 00:18:32,857","It's not, it's not.",不是，並非如此。
"00:18:32,857 --> 00:18:37,824","And it's not, again it's not like we're total replacement of all publishers and publishing games.",而且還不是，重複一次，我們不是所有出版商和出版遊戲的完全替代品。
"00:18:37,824 --> 00:18:41,803","There's still going to be, there still might be a few games made by publishers after today.",今天之後仍然會有幾個由出版商製作的遊戲。
"00:18:41,803 --> 00:18:43,746",Just a couple games.,只是幾個遊戲。
"00:18:43,746 --> 00:18:48,988","But it does mean if you've ever been told that your part of a niche market, if you've ever like, if you've ever like,",但這確實意味著，如果你曾被告知你是某個小眾市場的一部分，如果你曾經像，
"00:18:48,988 --> 00:18:52,658",when you're a kid and you had your favorite TV show cancelled or you hear about your favorite band,當你還是孩子時，你最喜歡的電視節目被取消了，或者你聽說你最喜歡的樂隊
"00:18:52,658 --> 00:18:56,576",being dropped by their label for not selling enough and you've just been like why does a big company get to choose,被他們的唱片公司解僱因為銷量不夠，而你只是想，為什麼大公司能夠選擇
"00:18:56,576 --> 00:19:00,924","what music I listen to or what movies I watch or what TV shows I watch or what game I get to play,",我聽什麼音樂，看什麼電影，觀看什麼電視節目，或者玩什麼遊戲，
"00:19:00,924 --> 00:19:04,377",now you know that they can't do that anymore.,現在你知道他們不能再那樣做了。
"00:19:04,377 --> 00:19:06,784",You can choose. So thanks everybody.,你可以選擇。因此，謝謝大家。
"00:19:06,784 --> 00:19:12,940",[Cheering] Thank you to the team!, [ 掌聲 ] 謝謝團隊！
"00:19:13,060 --> 00:19:14,260",Everybody!,大家！
"00:19:16,460 --> 00:19:21,335",Thanks to my parents for backing the project and everybody else's parents who backed the project.,感謝我的父母支援這個專案，還有其他所有支援這個專案的父母。
"00:19:21,335 --> 00:19:24,939",Does anybody else want to thank anybody?,還有其他人想要感謝誰嗎？
"00:19:25,080 --> 00:19:26,120",Kipnis: Thank you Tim!,Kipnis:  謝謝你，Tim！
"00:19:26,260 --> 00:19:27,220",Thank you!,謝謝！
"00:19:27,502 --> 00:19:30,984",Thanks everyone and now we dance.,謝謝大家，現在我們跳舞吧。
"00:19:31,360 --> 00:19:37,320",[Cheering] Ron's dancing!, [ 掌聲 ] Ron 在跳舞！
"00:19:41,479 --> 00:20:15,879",[Music],[ 音樂 ]
